danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,audio_features,3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0,264307,4,9
0.663,0.706,1,-4.972,0,0.0383,0.0654,0.0,0.115,0.474,122.013,audio_features,6sy3LkhNFjJWlaeSMNwQ62,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,257840,4,14
0.633,0.976,8,-5.362,1,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,audio_features,5YJtMNWKe55yr49cyJgxva,spotify:track:5YJtMNWKe55yr49cyJgxva,https://api.spotify.com/v1/tracks/5YJtMNWKe55yr49cyJgxva,https://api.spotify.com/v1/audio-analysis/5YJtMNWKe55yr49cyJgxva,197124,4,3
0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,audio_features,27AHAtAirQapVldIm4c9ZX,spotify:track:27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/tracks/27AHAtAirQapVldIm4c9ZX,https://api.spotify.com/v1/audio-analysis/27AHAtAirQapVldIm4c9ZX,195107,4,13
0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,audio_features,5G1sTBGbZT5o4PNRc75RKI,spotify:track:5G1sTBGbZT5o4PNRc75RKI,https://api.spotify.com/v1/tracks/5G1sTBGbZT5o4PNRc75RKI,https://api.spotify.com/v1/audio-analysis/5G1sTBGbZT5o4PNRc75RKI,193653,4,17
0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4,8
0.708,0.462,6,-6.419,1,0.0339,0.352,8.34e-06,0.112,0.495,99.988,audio_features,3qiDkKNPtSSgJZEpoC74M3,spotify:track:3qiDkKNPtSSgJZEpoC74M3,https://api.spotify.com/v1/tracks/3qiDkKNPtSSgJZEpoC74M3,https://api.spotify.com/v1/audio-analysis/3qiDkKNPtSSgJZEpoC74M3,219680,4,9
0.71,0.698,2,-5.797,1,0.0332,0.0697,0.0,0.478,0.852,104.007,audio_features,4asjU3sDnn3002bTJIg2vZ,spotify:track:4asjU3sDnn3002bTJIg2vZ,https://api.spotify.com/v1/tracks/4asjU3sDnn3002bTJIg2vZ,https://api.spotify.com/v1/audio-analysis/4asjU3sDnn3002bTJIg2vZ,264813,4,13
0.813,0.728,4,-5.795,0,0.0681,0.0901,0.000363,0.115,0.96,128.098,audio_features,4k15blneKWudA2gBmlWFIW,spotify:track:4k15blneKWudA2gBmlWFIW,https://api.spotify.com/v1/tracks/4k15blneKWudA2gBmlWFIW,https://api.spotify.com/v1/audio-analysis/4k15blneKWudA2gBmlWFIW,235560,4,5
0.517,0.711,6,-5.84,0,0.0627,0.000763,7.15e-06,0.568,0.582,108.846,audio_features,3C542UknrX76XSRXTyQ1Qg,spotify:track:3C542UknrX76XSRXTyQ1Qg,https://api.spotify.com/v1/tracks/3C542UknrX76XSRXTyQ1Qg,https://api.spotify.com/v1/audio-analysis/3C542UknrX76XSRXTyQ1Qg,211336,4,8
0.295,0.94,11,-5.247,1,0.0449,0.00021,0.00106,0.276,0.58,186.186,audio_features,4nzyOwogJuWn1s6QuGFZ6w,spotify:track:4nzyOwogJuWn1s6QuGFZ6w,https://api.spotify.com/v1/tracks/4nzyOwogJuWn1s6QuGFZ6w,https://api.spotify.com/v1/audio-analysis/4nzyOwogJuWn1s6QuGFZ6w,204293,3,3
0.438,0.938,6,-5.611,0,0.094,0.00842,1.08e-06,0.806,0.584,160.212,audio_features,61XspFITuKmAlYdQacNCbF,spotify:track:61XspFITuKmAlYdQacNCbF,https://api.spotify.com/v1/tracks/61XspFITuKmAlYdQacNCbF,https://api.spotify.com/v1/audio-analysis/61XspFITuKmAlYdQacNCbF,181493,4,8
